"mpg"	"Freq"
"15.5"	0.00649350649350649
"16.2"	0.00649350649350649
"16.5"	0.00649350649350649
"16.9"	0.00649350649350649
"17"	0.012987012987013
"17.5"	0.00649350649350649
"17.6"	0.012987012987013
"17.7"	0.00649350649350649
"18.1"	0.012987012987013
"18.2"	0.00649350649350649
"18.5"	0.00649350649350649
"18.6"	0.00649350649350649
"19.1"	0.00649350649350649
"19.2"	0.0194805194805195
"19.4"	0.012987012987013
"19.8"	0.00649350649350649
"19.9"	0.00649350649350649
"20.2"	0.025974025974026
"20.3"	0.00649350649350649
"20.5"	0.012987012987013
"20.6"	0.012987012987013
"20.8"	0.00649350649350649
"21.1"	0.00649350649350649
"21.5"	0.00649350649350649
"21.6"	0.00649350649350649
"22"	0.00649350649350649
"22.3"	0.00649350649350649
"22.4"	0.00649350649350649
"23"	0.012987012987013
"23.2"	0.00649350649350649
"23.5"	0.00649350649350649
"23.6"	0.00649350649350649
"23.7"	0.00649350649350649
"23.8"	0.00649350649350649
"23.9"	0.012987012987013
"24"	0.00649350649350649
"24.2"	0.00649350649350649
"24.3"	0.00649350649350649
"25"	0.00649350649350649
"25.1"	0.00649350649350649
"25.4"	0.012987012987013
"25.8"	0.00649350649350649
"26"	0.00649350649350649
"26.4"	0.00649350649350649
"26.6"	0.012987012987013
"26.8"	0.00649350649350649
"27"	0.025974025974026
"27.2"	0.0194805194805195
"27.4"	0.00649350649350649
"27.5"	0.00649350649350649
"27.9"	0.00649350649350649
"28"	0.0194805194805195
"28.1"	0.00649350649350649
"28.4"	0.00649350649350649
"28.8"	0.00649350649350649
"29"	0.00649350649350649
"29.5"	0.00649350649350649
"29.8"	0.012987012987013
"29.9"	0.00649350649350649
"30"	0.012987012987013
"30.4"	0.00649350649350649
"30.7"	0.00649350649350649
"30.9"	0.00649350649350649
"31"	0.0194805194805195
"31.3"	0.00649350649350649
"31.5"	0.00649350649350649
"31.6"	0.00649350649350649
"31.8"	0.00649350649350649
"31.9"	0.00649350649350649
"32"	0.0194805194805195
"32.1"	0.00649350649350649
"32.2"	0.00649350649350649
"32.3"	0.00649350649350649
"32.4"	0.012987012987013
"32.7"	0.00649350649350649
"32.8"	0.00649350649350649
"32.9"	0.00649350649350649
"33"	0.00649350649350649
"33.5"	0.00649350649350649
"33.7"	0.00649350649350649
"33.8"	0.00649350649350649
"34"	0.012987012987013
"34.1"	0.012987012987013
"34.2"	0.00649350649350649
"34.3"	0.00649350649350649
"34.4"	0.00649350649350649
"34.5"	0.012987012987013
"34.7"	0.00649350649350649
"35"	0.00649350649350649
"35.1"	0.00649350649350649
"35.7"	0.00649350649350649
"36"	0.0324675324675325
"36.1"	0.012987012987013
"36.4"	0.00649350649350649
"37"	0.0194805194805195
"37.2"	0.00649350649350649
"37.3"	0.00649350649350649
"37.7"	0.00649350649350649
"38"	0.025974025974026
"38.1"	0.00649350649350649
"39"	0.00649350649350649
"39.1"	0.00649350649350649
"39.4"	0.00649350649350649
"40.8"	0.00649350649350649
"40.9"	0.00649350649350649
"41.5"	0.00649350649350649
"43.1"	0.00649350649350649
"43.4"	0.00649350649350649
"44"	0.00649350649350649
"44.3"	0.00649350649350649
"44.6"	0.00649350649350649
"46.6"	0.00649350649350649
