"x"
"15.5"	1
"16.2"	2
"16.5"	3
"16.9"	4
"17"	6
"17.5"	7
"17.6"	9
"17.7"	10
"18.1"	12
"18.2"	13
"18.5"	14
"18.6"	15
"19.1"	16
"19.2"	19
"19.4"	21
"19.8"	22
"19.9"	23
"20.2"	27
"20.3"	28
"20.5"	30
"20.6"	32
"20.8"	33
"21.1"	34
"21.5"	35
"21.6"	36
"22"	37
"22.3"	38
"22.4"	39
"23"	41
"23.2"	42
"23.5"	43
"23.6"	44
"23.7"	45
"23.8"	46
"23.9"	48
"24"	49
"24.2"	50
"24.3"	51
"25"	52
"25.1"	53
"25.4"	55
"25.8"	56
"26"	57
"26.4"	58
"26.6"	60
"26.8"	61
"27"	65
"27.2"	68
"27.4"	69
"27.5"	70
"27.9"	71
"28"	74
"28.1"	75
"28.4"	76
"28.8"	77
"29"	78
"29.5"	79
"29.8"	81
"29.9"	82
"30"	84
"30.4"	85
"30.7"	86
"30.9"	87
"31"	90
"31.3"	91
"31.5"	92
"31.6"	93
"31.8"	94
"31.9"	95
"32"	98
"32.1"	99
"32.2"	100
"32.3"	101
"32.4"	103
"32.7"	104
"32.8"	105
"32.9"	106
"33"	107
"33.5"	108
"33.7"	109
"33.8"	110
"34"	112
"34.1"	114
"34.2"	115
"34.3"	116
"34.4"	117
"34.5"	119
"34.7"	120
"35"	121
"35.1"	122
"35.7"	123
"36"	128
"36.1"	130
"36.4"	131
"37"	134
"37.2"	135
"37.3"	136
"37.7"	137
"38"	141
"38.1"	142
"39"	143
"39.1"	144
"39.4"	145
"40.8"	146
"40.9"	147
"41.5"	148
"43.1"	149
"43.4"	150
"44"	151
"44.3"	152
"44.6"	153
"46.6"	154
